host_name address contact_group
HUB-DEPLOYMENT-01 10.0.2.4 Support
HUB-NGINX-01 10.0.1.215 Support
HUB-NGINX-02 10.0.1.216 Support
HUB-MONITORING-01 10.0.2.6 Support
HUB-HAPROXY-01 10.0.2.9 Operations
HUB-HAPROXY-02 10.0.2.10 Operations
HUB-COMMON-01 10.0.2.6 Support
HUB-EXTENSIONS-SMPP-CLIENT-01 192.168.85.2 Operations
HUB-EXTENSIONS-SMPP-CLIENT-02 192.168.85.3 Operations
HUB-EXTENSIONS-CELCOM-ESB-01 192.168.85.27 Operations
HUB-EXTENSIONS-CELCOM-ESB-02 192.168.85.28 Operations
HUB-IPIFICATION-INTERNAL-NGINX-SERVER-01 10.0.2.28 Operations
HUB-IPIFICATION-INTERNAL-NGINX-SERVER-02 10.0.2.29 Operations
HUB-EXTENSION-SMART-APPLE-01 192.168.85.18 Operations
HUB-EXTENSION-SMART-APPLE-02 192.168.85.20 Operations
HUB-EXTENSION-SMART-FDA-01 192.168.85.21 Operations
HUB-EXTENSION-SMART-FDA-02 192.168.85.22 Operations
PROD-VDS2-01 10.222.0.52 Operations
PROD-VDS2-02 10.222.0.53 Operations
PROD-DCB-DATA-SERVICE-01 10.222.4.2 Operations
PROD-DCB-DATA-SERVICE-02 10.222.4.3 Operations
PROD-DCB-APPLE-CELCOM-ADAPTER-01 10.222.4.7 Operations
PROD-DCB-APPLE-CELCOM-ADAPTER-02 10.222.4.8 Operations
PROD-DCB-APPLE-SMART-ADAPTER-01 10.222.4.5 Operations
PROD-DCB-APPLE-SMART-ADAPTER-02 10.222.4.6 Operations
PROD-HUB-EXTENTION-SMPP2-1 10.0.1.39 Operations
PROD-HUB-EXTENTION-SMPP2-2 10.0.1.40 Operations
PROD-VOUCHER-GEN-PLATFORM-01 10.222.0.50 Operations
PROD-VOUCHER-GEN-PLATFORM-02 10.222.0.51 Operations
PROD-CONTRACT-MGT-01 10.222.10.3 Operations
PROD-DCB-GOOGLE-ADAPTER-01 10.222.4.34 Operations
PROD-DCB-GOOGLE-ADAPTER-02 10.222.4.35 Operations
PROD-WALLET-AGGREGATOR-01 10.222.0.66 Operations
PROD-WALLET-AGGREGATOR-02 10.222.0.67 Operations
PROD-BILLING-01 10.202.0.2 Operations
UAT-BILLING-01 10.202.2.2 Operations
PROD-AOC-ROBI-01 10.222.0.2 Operations
PROD-AOC-ROBI-02 10.222.0.3 Operations
PROD-AOC-ROBI-03 10.222.0.4 Operations
PROD-AOC-MAIN-01 10.222.0.5 Operations
PROD-AOC-MAIN-02 10.222.0.6 Operations
PROD-MOBILE-CONNECT-01 10.222.0.146 Operations
PROD-MOBILE-CONNECT-02 10.222.0.147 Operations
PROD-XL-ADAPTER-VPN-NAT-GW-01 10.174.26.10 Operations
PROD-XL-ADAPTER-VPN-NAT-GW-02 10.174.26.11 Operations
API.APIGATE.COM api.apigate.com Support
